datetime,action,percent,price,hands,fee,total_captial,profit,zscore
2010-02-02 00:00:00,order,0.969140655,21.53,9,5.8130999999999995,19994.1869,0,1.0805221721587657
2010-02-10 00:00:00,close,0,22.21,0.0,25.9857,20580.2012,586.0142999999989,-0.8929785025518067
2010-03-09 00:00:00,order,0.9219390138906902,23.71,8,5.6903999999999995,20574.5108,0,0.7466264415949597
2010-04-06 00:00:00,close,0,23.35,0.0,24.284,20262.2268,-312.28399999999965,-0.7457174893045171
2010-09-14 00:00:00,order,0.9340373191361178,17.2,11,5.675999999999999,20256.5508,0,0.7611610093732332
2010-11-12 00:00:00,close,0,17.25,0.0,24.6675,20286.8833,30.332500000000437,-1.287320819765486
2010-12-02 00:00:00,order,0.9798430496221169,16.56,12,5.961599999999998,20280.921700000003,0,0.7749709685799228
2010-12-15 00:00:00,close,0,16.62,0.0,25.9272,20326.994500000008,46.07280000000537,-0.8168328827190987
2011-03-03 00:00:00,order,0.9714137522888586,16.45,12,5.922,20321.07250000001,0,0.9437983646064815
2011-05-05 00:00:00,close,0,17.55,0.0,27.378,21613.69450000001,1292.6219999999994,-0.79828191022278
2011-06-09 00:00:00,order,0.9933257315171173,16.51,13,6.4389,21607.255600000008,0,0.7868814599547121
2011-07-18 00:00:00,close,0,17.75,0.0,29.9975,23189.258100000003,1582.002499999995,-0.8684290461244202
2011-11-21 00:00:00,order,0.9602151955003683,15.9,14,6.677999999999999,23182.580100000003,0,0.89737734580552
2011-12-13 00:00:00,close,0,15.68,0.0,28.5376,22846.042500000003,-336.53759999999966,-2.321209660752785
2012-01-20 00:00:00,order,0.9568202414050483,16.81,13,6.5558999999999985,22839.486600000004,0,0.7559145215453383
2012-02-21 00:00:00,close,0,16.49,0.0,27.868099999999995,22395.6185,-443.8681000000033,-1.0558276521718104
2012-02-28 00:00:00,order,0.9256371821122064,17.27,12,6.217199999999999,22389.4013,0,2.1856077935558793
2012-03-14 00:00:00,order,0.9931540223968832,16.49,1,5,22384.4013,0,1.4450848078600813
2012-05-09 00:00:00,close,0,16.16,0.0,27.310399999999998,20992.0909,-1392.3104000000021,-0.87898911722435
2012-05-11 00:00:00,order,0.9998191556992544,16.14,13,6.294599999999999,20985.796299999998,0,0.748689768182581
2012-06-08 00:00:00,close,0,14.85,0.0,25.0965,19283.6998,-1702.0964999999997,-0.7727173150194906
2012-12-10 00:00:00,order,0.9575723637846717,14.2,13,5.537999999999999,19278.161799999998,0,0.8140920501967895
2013-01-11 00:00:00,close,0,15.49,0.0,26.1781,20928.9837,1650.8219000000026,-1.025786779530782
2013-01-14 00:00:00,order,0.9818997183317602,17.12,12,6.1632,20922.8205,0,1.1310754774996066
2013-02-20 00:00:00,close,0,20.0,0.0,31.2,24347.6205,3424.7999999999993,-1.3250776484089437
2013-07-12 00:00:00,order,0.992180940227814,10.5,23,7.244999999999999,24340.375500000002,0,0.9211920315529806
2013-08-08 00:00:00,close,0,9.97,0.0,29.8103,23091.5652,-1248.810300000001,-0.9831417024963831
2013-08-16 00:00:00,order,0.9739809755295411,10.22,22,6.7452000000000005,23084.82,0,2.370917990149981
2013-09-02 00:00:00,close,0,10.79,0.0,30.859399999999994,24307.96059999999,1223.1405999999915,-0.7852821690277156
2013-09-11 00:00:00,order,0.9789030347531503,12.52,19,7.136399999999999,24300.824199999992,0,0.970563249864465
2013-10-22 00:00:00,close,0,12.17,0.0,30.0599,23605.76429999999,-695.0599000000002,-0.7134150789672822
2013-10-25 00:00:00,order,0.9653080370712677,13.4,17,6.834,23598.930299999993,0,1.6978941263039702
2013-11-15 00:00:00,close,0,13.48,0.0,29.7908,23705.13949999999,106.20919999999751,-0.7535641451823013
2013-12-13 00:00:00,order,0.949446005158502,12.5,18,6.749999999999999,23698.38949999999,0,0.8726207538354442
2014-01-15 00:00:00,order,0.9771447430071856,11.66,1,5,23693.38949999999,0,1.0848196462372959
2014-03-25 00:00:00,close,0,10.66,0.0,26.3302,20255.05929999999,-3438.3302000000003,-1.0190918434486036
2014-05-07 00:00:00,order,0.9627149400643823,10.83,18,5.848199999999999,20249.21109999999,0,1.0198093241862676
2014-05-16 00:00:00,close,0,11.27,0.0,26.3718,21014.83929999999,765.6281999999992,-0.7665183312019602
