datetime,action,percent,price,hands,fee,total_captial,profit,zscore
2010-02-01 00:00:00,order,0.95151877002,3170.778,6,570.7400399999999,1999429.25996,0,0.725490253288512
2010-02-24 00:00:00,close,0,3252.153,0.0,2536.6793399999997,2045717.58062,46288.32065999997,-1.1879196224494735
2010-06-21 00:00:00,order,0.9491058416145371,2772.886,7,582.3060599999999,2045135.2745599998,0,0.7460541934885991
2010-06-28 00:00:00,close,0,2717.465,0.0,2472.89315,2003867.6814100002,-41267.59314999962,-1.7220967822758024
2010-08-12 00:00:00,order,0.9848349191955541,2818.41,7,591.8661,2003275.8153100002,0,0.9964900741134726
2010-08-20 00:00:00,close,0,2895.7070000000003,0.0,2635.09337,2054748.6219400002,51472.80663000001,-1.236163882170483
2010-10-08 00:00:00,order,0.896491782094885,3069.188,6,552.4538399999999,2054196.1681000001,0,0.9462847837752815
2010-11-08 00:00:00,close,0,3547.44,0.0,2767.0032,2338380.3649000004,284184.19680000027,-1.1533148769407628
2010-12-06 00:00:00,order,0.9440616278970534,3152.7329999999997,7,662.07393,2337718.2909700004,0,1.279706290986261
2010-12-08 00:00:00,close,0,3155.9959999999996,0.0,2871.956359999999,2337130.4346100003,-587.8563600000925,-1.9022160503586765
2011-01-13 00:00:00,order,0.9376558952883969,3129.667,7,657.23007,2336473.2045400003,0,0.8890055270483349
2011-02-10 00:00:00,close,0,3100.2740000000003,0.0,2821.2493400000003,2313076.8552000006,-23396.349339999724,-0.8728006967394115
2011-02-23 00:00:00,order,0.9596875021984782,3170.236,7,665.7495599999999,2312411.1056400007,0,0.7446788466791817
2011-03-09 00:00:00,close,0,3330.4440000000004,0.0,3030.70404,2421526.001600001,109114.89596000034,-1.113596567940516
2011-05-18 00:00:00,order,0.910379757505553,3148.353,7,661.15413,2420864.847470001,0,0.7786957851549579
2011-07-18 00:00:00,close,0,3108.472,0.0,2828.7095200000003,2390119.437950001,-30745.409519999754,-1.4699813150787464
2011-09-06 00:00:00,order,0.9169786557778908,2738.789,8,657.30936,2389462.1285900013,0,0.80589910167338
2011-10-12 00:00:00,close,0,2636.863,0.0,2742.33752,2305178.991070001,-84283.13752000034,-0.725313019622818
2011-11-23 00:00:00,order,0.8906746819200262,2565.686,8,615.76464,2304563.2264300007,0,0.7131099836253072
2011-12-08 00:00:00,order,0.9949335134179089,2506.624,1,75.19871999999998,2304488.0277100005,0,0.7240225105870982
2012-02-07 00:00:00,close,0,2456.422,0.0,2874.0137399999994,2209182.6139700003,-95305.41374000022,-0.8199702401833405
2012-03-05 00:00:00,order,0.9616571931743663,2654.7990000000004,8,637.15176,2208545.4622100005,0,0.714940390845807
2012-03-19 00:00:00,close,0,2622.66,0.0,2727.5664,2180106.6958100004,-28438.76640000008,-0.8167999246923003
